,player,cluster,x,y,centrality
91,Daniel Theis,1,-0.099692583262394,-0.03288178416342724,0.03734439834024896
85,Kemba Walker,4,0.06499122260889811,-0.06908214253153203,0.03734439834024896
171,Gary Harris,0,0.047998671620942,0.008254054821913019,0.03734439834024896
25,Bradley Beal,0,0.044392832858707175,0.01619120821063216,0.03734439834024896
19,Lauri Markkanen,0,0.004166594668524914,0.07121080840119007,0.03734439834024896
16,Bojan Bogdanovic,0,0.010452003044700198,0.06679923674328479,0.03734439834024896
59,Paul Millsap,0,-0.034744560180584784,0.034840108969633285,0.03319502074688797
114,Harrison Barnes,0,0.02354682301732448,0.05809190604844992,0.03319502074688797
14,Danilo Gallinari,0,0.0014382750089752864,0.06228290143484089,0.03319502074688797
101,Ben Simmons,0,0.027700672541050093,0.0620708628015805,0.03319502074688797
143,Malcolm Brogdon,4,0.06086367788380374,-0.046334879822666944,0.03319502074688797
113,Jimmy Butler,0,0.03089535138156167,0.04897362460438372,0.03319502074688797
168,Pascal Siakam,0,0.0033717794887751207,0.08323589951921943,0.03319502074688797
15,Carmelo Anthony,0,0.00951817645267264,0.07310187277051429,0.03319502074688797
169,Evan Fournier,0,0.04816997241152793,0.00805178435211835,0.029045643153526972
147,Ivica Zubac,1,-0.09905018080639787,-0.03225673787327782,0.029045643153526972
82,Marcus Morris Sr.,0,0.024521754887297423,0.05898499200882929,0.029045643153526972
11,Miles Bridges,0,0.02519014123389136,0.0553906427483496,0.029045643153526972
118,Devin Booker,0,0.04893147491259717,0.006187632489477381,0.029045643153526972
81,Rui Hachimura,0,-0.01884193013517292,0.0481924166102739,0.029045643153526972
51,JJ Redick,0,0.0509174696997398,0.006312822962882104,0.029045643153526972
97,Giannis Antetokounmpo,0,0.011891669384902645,0.06885725289499925,0.024896265560165977
90,Brook Lopez,1,-0.09931829741748262,-0.032484598060678584,0.024896265560165977
179,Andrew Wiggins,0,0.03200346330416629,0.04844863742223662,0.024896265560165977
167,Anthony Davis,0,0.007189039177302383,0.06877386320889121,0.024896265560165977
105,Isaiah Thomas,4,0.0685298199790615,-0.092071024871787,0.024896265560165977
181,CJ McCollum,4,0.060227193105069576,-0.03923867805726674,0.024896265560165977
151,Tony Snell,0,0.031606274148088025,0.04188624671514154,0.024896265560165977
57,Dillon Brooks,0,0.04687399445980337,0.008554922113820503,0.024896265560165977
123,Luka Doncic,0,0.03719764650360525,0.03907108063855807,0.024896265560165977
64,Taurean Prince,0,-0.005368857449733805,0.05930265213024832,0.024896265560165977
12,De'Andre Hunter,0,0.023451466038468788,0.06145406066879872,0.024896265560165977
41,Dwight Powell,1,-0.09962675956588057,-0.03273684047362946,0.024896265560165977
61,Kawhi Leonard,0,0.020551428814123,0.0590153402754625,0.024896265560165977
63,Kristaps Porzingis,1,-0.06730462051667224,0.0039144242572678335,0.024896265560165977
116,Kelly Oubre Jr.,0,0.02957033522183232,0.06124277680682497,0.024896265560165977
139,Myles Turner,1,-0.09857742417311681,-0.0316140161272149,0.024896265560165977
119,Donovan Mitchell,0,0.04888151183152373,-0.006233530292068391,0.02074688796680498
13,Sekou Doumbouya,0,0.016569782718752344,0.0769438868580706,0.02074688796680498
5,Wesley Matthews,0,0.03840591371821096,0.033380208017311584,0.02074688796680498
112,Jrue Holiday,4,0.05287646517021174,-0.02155885419670207,0.02074688796680498
109,Ja Morant,4,0.06839615395714274,-0.08615758844409559,0.02074688796680498
158,D'Angelo Russell,4,0.06422928552146442,-0.06809368332371739,0.02074688796680498
6,Jae Crowder,0,0.02761082144865929,0.06191856999159315,0.02074688796680498
160,Khris Middleton,0,0.029591291612974236,0.05129225977928724,0.02074688796680498
107,Markelle Fultz,4,0.0685156779521501,-0.0918918296936312,0.02074688796680498
71,Fred VanVleet,4,0.06641923602311892,-0.07269788491672226,0.02074688796680498
78,Marcus Smart,0,0.05101838319722308,-0.0019574713199592792,0.02074688796680498
193,Brandon Ingram,0,-0.002321916183221728,0.06625894967117575,0.02074688796680498
33,Marc Gasol,1,-0.09901735821794491,-0.03219343747868839,0.02074688796680498
124,Montrezl Harrell,1,-0.09934824120374693,-0.03257117644763843,0.02074688796680498
185,Cedi Osman,0,0.0189201752923364,0.06724238755251646,0.02074688796680498
189,Bryn Forbes,0,0.05267197261731274,-0.005280984648603961,0.02074688796680498
201,Royce O'Neale,0,0.031121856089308755,0.030186094026458426,0.02074688796680498
94,Serge Ibaka,1,-0.09997372165220622,-0.03324108633887477,0.02074688796680498
53,Kris Dunn,4,0.053397974365443114,-0.021051309107259768,0.02074688796680498
146,Khem Birch,1,-0.07976390924575506,-0.01162898832943633,0.02074688796680498
137,Aron Baynes,1,-0.09895394855622332,-0.03203165933503166,0.016597510373443983
135,Eric Bledsoe,4,0.06573545656455211,-0.0684098894152986,0.016597510373443983
70,Mike Conley,4,0.06499247553001758,-0.05987981189259943,0.016597510373443983
106,Ricky Rubio,4,0.06734168834176314,-0.08477107078962966,0.016597510373443983
88,Ky Bowman,4,0.06498739285237098,-0.06817643648985063,0.016597510373443983
87,Cory Joseph,4,0.0666737001302008,-0.07367574581138726,0.016597510373443983
86,D.J. Augustin,4,0.06803692432174324,-0.0803770303072312,0.016597510373443983
73,Collin Sexton,4,0.05825573932820055,-0.02979393121306294,0.016597510373443983
66,Terry Rozier,4,0.06573903383978906,-0.07960832693746665,0.016597510373443983
39,Cody Zeller,1,-0.09995930368557303,-0.03313661000646258,0.016597510373443983
34,Kevin Love,1,-0.05094550126488146,0.021341929167568774,0.016597510373443983
20,P.J. Washington,0,-0.002144762634606076,0.06603472126509435,0.016597510373443983
18,Trey Lyles,0,0.013214590141022333,0.07919773077979063,0.016597510373443983
2,Trevor Ariza,0,0.034246614215264946,0.04102982749682614,0.016597510373443983
138,Willie Cauley-Stein,1,-0.10020974534381562,-0.03342244152608516,0.016597510373443983
120,Kyrie Irving,4,0.06459884383718068,-0.05646095287975179,0.016597510373443983
183,Victor Oladipo,4,0.06191023708368048,-0.02752854959536457,0.016597510373443983
203,Lonzo Ball,4,0.06712042779642931,-0.10128793403014452,0.016597510373443983
165,Kendrick Nunn,4,0.0711623205802451,-0.11034765125477279,0.016597510373443983
166,Darius Garland,4,0.06561478061522845,-0.0803409318948872,0.016597510373443983
182,Jeremy Lamb,4,0.05602757124621919,-0.021083430535802247,0.012448132780082988
161,Jerami Grant,0,0.009337508706056867,0.0800567773966736,0.012448132780082988
104,Luguentz Dort,0,0.036905146437666306,0.04568396811686491,0.012448132780082988
102,James Harden,0,0.03347923146722069,0.056678753840292063,0.012448132780082988
98,Blake Griffin,0,0.0008390881355594263,0.08544874465709469,0.012448132780082988
170,Zach LaVine,0,0.04465701375782336,0.02243518135935886,0.012448132780082988
93,Bismack Biyombo,1,-0.10080041988758846,-0.034107158462095735,0.012448132780082988
84,Christian Wood,0,0.009747177427704144,0.0662644508356198,0.012448132780082988
178,Draymond Green,0,0.00950855073652417,0.06895844507586901,0.012448132780082988
69,Jeff Teague,4,0.06648938537866225,-0.06662007283852739,0.012448132780082988
156,Tobias Harris,0,0.011479644753022482,0.07273361575508883,0.012448132780082988
28,Ian Mahinmi,1,-0.0996910568255276,-0.03274829270727795,0.012448132780082988
75,Zion Williamson,0,0.0004911232934335957,0.09570752559865506,0.012448132780082988
194,Robert Covington,0,-0.0011761687504584228,0.068531265739459,0.012448132780082988
62,Jabari Parker,0,-0.007413703557768628,0.06558246903745281,0.012448132780082988
214,John Collins,1,-0.05556094872662319,0.015059195458631998,0.012448132780082988
197,Marvin Bagley III,1,-0.0990845065284152,-0.03200459324850565,0.012448132780082988
213,Buddy Hield,0,0.05279295465115284,0.0026675587976193343,0.012448132780082988
212,Torrey Craig,0,0.04322883871984368,-0.004929869573392156,0.012448132780082988
207,Devonte' Graham,0,0.04196551154396381,0.017582153047103435,0.012448132780082988
111,Landry Shamet,4,0.0642768584797839,-0.06172324261299959,0.012448132780082988
205,Joe Harris,0,0.04788738240415067,0.011234862272925184,0.012448132780082988
129,Paul George,0,0.022257747407805315,0.09638694028502981,0.012448132780082988
115,Rodney Hood,0,0.03290164137249164,0.04748313571140067,0.012448132780082988
136,Dejounte Murray,4,0.06431093868427411,-0.06127011630289005,0.012448132780082988
7,Will Barton,0,0.024418742096654355,0.06388025482784036,0.012448132780082988
233,Eric Paschall,0,-0.0019986803169675066,0.08441897641755955,0.012448132780082988
121,Patrick Beverley,4,0.07119239226266953,-0.10670250117525719,0.012448132780082988
9,OG Anunoby,0,0.03259771355694557,0.05337180173471218,0.012448132780082988
172,Glenn Robinson III,0,0.04004024378100787,0.03416767060381701,0.008298755186721992
127,Shai Gilgeous-Alexander,0,0.030152455523724555,0.08576028171535029,0.008298755186721992
145,Enes Kanter,1,-0.11020060642012855,-0.05005780071215936,0.008298755186721992
235,Jalen Brunson,4,0.07986658723790996,-0.17577961939242526,0.008298755186721992
55,Josh Okogie,0,0.050982136193705334,0.007749633899959329,0.008298755186721992
132,Nicolo Melli,0,0.018075793160657248,0.10741630345925211,0.008298755186721992
131,Jaylen Brown,0,0.012952242785525312,0.09870559670637827,0.008298755186721992
60,P.J. Tucker,0,-0.00679489716798202,0.051739822929089685,0.008298755186721992
74,Thaddeus Young,0,0.0009934961615721922,0.08715189130767316,0.008298755186721992
195,Larry Nance Jr.,1,-0.07787912437064962,-0.007453049420111719,0.008298755186721992
198,Cristiano Felicio,1,-0.09832607953238305,-0.03121963283869843,0.008298755186721992
187,Kent Bazemore,4,0.06411663526467835,-0.0681564474763357,0.008298755186721992
72,Monte Morris,4,0.06483169975272102,-0.05861541086116053,0.008298755186721992
220,Kevin Huerter,0,0.03281968815748963,0.09252739907538492,0.008298755186721992
190,Bruce Brown,4,0.06767724985732249,-0.08250317448473578,0.008298755186721992
68,Anthony Tolliver,1,-0.10044193001154472,-0.03355062896777052,0.008298755186721992
31,Al Horford,1,-0.1014680822889778,-0.03470097617836425,0.008298755186721992
134,Avery Bradley,4,0.06782169637729574,-0.07692156665568207,0.008298755186721992
174,Derrick White,4,0.06514307717560006,-0.06853252457378423,0.008298755186721992
21,JaKarr Sampson,0,-0.01031995377730444,0.10772944778375425,0.008298755186721992
216,Luke Kornet,1,-0.11219432781092697,-0.054206389470391615,0.008298755186721992
110,Stephen Curry,4,0.05625959942662104,-0.02865072830946709,0.008298755186721992
157,Reggie Jackson,4,0.06992236458742074,-0.09854323730876051,0.008298755186721992
229,Maxi Kleber,0,0.0015672618065304606,0.09706428094089513,0.008298755186721992
162,Josh Hart,0,0.02549171526679314,0.05443630427984973,0.008298755186721992
232,Duncan Robinson,4,0.05568271007732874,-0.05381910172480135,0.008298755186721992
103,Dorian Finney-Smith,0,0.03422352585129463,0.05236739509303367,0.008298755186721992
142,Josh Richardson,4,0.06504184937221705,-0.046862791635052824,0.008298755186721992
208,RJ Barrett,0,0.038030172083621035,0.0335997445433281,0.008298755186721992
217,Jusuf Nurkic,1,-0.10199985386195316,-0.03546142037705968,0.008298755186721992
240,Isaac Bonga,0,0.04189408743502558,0.06344673523598772,0.008298755186721992
96,DeAndre Jordan,1,-0.10132132677618588,-0.035312407805616404,0.008298755186721992
95,Marquese Chriss,1,-0.10244898895090257,-0.03603434028276239,0.008298755186721992
50,Reggie Bullock,0,0.04200739957522461,0.030192680156587107,0.008298755186721992
225,De'Aaron Fox,4,0.07640008747765664,-0.17214876478562585,0.008298755186721992
215,Caris LeVert,0,0.03365394039778402,0.05740221028191652,0.004149377593360996
1,Tyson Chandler,1,-0.09842966065708154,-0.031098355100273062,0.004149377593360996
239,Daniel Gafford,1,-0.10479122311102072,-0.03902897359823293,0.004149377593360996
210,Frank Kaminsky,1,-0.08472129220185887,-0.014288039665798866,0.004149377593360996
211,Kelan Martin,0,0.05025458268351113,0.013214599311447325,0.004149377593360996
209,Spencer Dinwiddie,4,0.07236571297885913,-0.11060776984914261,0.004149377593360996
230,Nassir Little,0,0.0035693189900411564,0.10101693031645638,0.004149377593360996
218,Boban Marjanovic,1,-0.10396561802376023,-0.03793721918556494,0.004149377593360996
22,Udonis Haslem,0,-0.010947171682683192,0.13173501151407108,0.004149377593360996
228,Frank Ntilikina,4,0.06336699363633402,-0.05299323815353797,0.004149377593360996
227,Jakob Poeltl,1,-0.11791438555131734,-0.06409544900377954,0.004149377593360996
17,Dario Saric,0,0.010047407459146684,0.08781293104526795,0.004149377593360996
234,Donte DiVincenzo,4,0.08447022249100551,-0.21263759695033443,0.004149377593360996
226,Jamal Murray,4,0.08037168899499318,-0.2042497431280745,0.004149377593360996
206,Malik Beasley,0,0.05046692998792498,0.009774507020637393,0.004149377593360996
224,Luke Kennard,0,0.020108471740007516,0.08280561645505859,0.004149377593360996
23,Cheick Diallo,2,4.107168687657442e-15,2.121639535161878e-15,0.004149377593360996
219,Mitchell Robinson,1,-0.10455441977621471,-0.03870007859936114,0.004149377593360996
24,Dwight Howard,2,3.4086152204621094e-15,2.3903407278361344e-15,0.004149377593360996
236,Jarrett Culver,0,0.03470842129097,0.11189310006048397,0.004149377593360996
223,Mario Hezonja,0,0.02919611878998975,0.07415050184235794,0.004149377593360996
222,Treveon Graham,0,0.05505271126172464,0.003068099409704686,0.004149377593360996
231,Aaron Holiday,0,0.055432159329098646,-0.006274704916217749,0.004149377593360996
221,Bobby Portis,0,-0.002466981440053449,0.08150148574975058,0.004149377593360996
238,Elie Okobo,4,0.06479156822469151,-0.07120177867392129,0.004149377593360996
237,Tyler Herro,4,0.06826477783578665,-0.07580837965912007,0.004149377593360996
140,Nemanja Bjelica,0,0.004399261338719406,0.08561139419010695,0.004149377593360996
204,Shake Milton,4,0.07155491861383823,-0.1073257673942706,0.004149377593360996
202,Solomon Hill,0,0.004422878340467644,0.08729955225009518,0.004149377593360996
173,DeAndre' Bembry,4,0.0660419204945884,-0.06858359385714559,0.004149377593360996
92,JaVale McGee,1,-0.10422882111026434,-0.03845945418498821,0.004149377593360996
100,Kenrich Williams,0,0.0008859436274023656,0.1027285931185414,0.004149377593360996
164,Davis Bertans,0,-0.009872174358955944,0.08759696558415778,0.004149377593360996
163,Wes Iwundu,0,0.011109604504032032,0.08229143218538777,0.004149377593360996
159,Tomas Satoransky,0,0.010989481335152674,0.07910410369302032,0.004149377593360996
155,James Ennis III,0,0.012163397180237246,0.08856861392598249,0.004149377593360996
154,Naz Reid,1,-0.10401937508292168,-0.03803897401974456,0.004149377593360996
153,Jaxson Hayes,1,-0.10472272758906807,-0.03897706178887538,0.004149377593360996
152,Thon Maker,1,-0.10434837118333332,-0.03847365516853702,0.004149377593360996
150,Otto Porter Jr.,0,0.025770179101071978,0.06972859167272383,0.004149377593360996
149,Markieff Morris,0,-0.005411580324703144,0.07768943335669341,0.004149377593360996
122,Shabazz Napier,4,0.07543276485747599,-0.12993294136991676,0.004149377593360996
144,Alex Len,1,-0.11649188309228556,-0.06043920310735577,0.004149377593360996
125,Isaiah Hartenstein,1,-0.10311137972666864,-0.03677728127297429,0.004149377593360996
126,Al-Farouq Aminu,0,0.013913222750489033,0.09424978027863952,0.004149377593360996
128,Gordon Hayward,0,0.03177292277098484,0.10236487432145217,0.004149377593360996
130,Tim Hardaway Jr.,0,0.023553250969789764,0.11682374828588385,0.004149377593360996
133,Patrick Patterson,0,0.019077341342425943,0.128947079496232,0.004149377593360996
89,Coby White,4,0.07210289808060442,-0.09794335981683393,0.004149377593360996
175,Langston Galloway,3,-2.199004512350491e-31,9.986558715506452e-32,0.004149377593360996
176,Terrence Ross,3,-5.163311439317524e-32,-1.7988217173759257e-31,0.004149377593360996
65,Zach Collins,0,-0.03665783496821544,0.041774646388237816,0.004149377593360996
200,Gary Trent Jr.,4,0.06514505678062642,-0.03269149552988874,0.004149377593360996
199,Alex Caruso,4,0.06562871902486007,-0.03357978141082095,0.004149377593360996
52,Tyler Johnson,0,0.05373435233345369,0.007575953416600371,0.004149377593360996
54,Grayson Allen,0,0.053566302082904936,0.007490955675779766,0.004149377593360996
56,Keldon Johnson,0,0.053712725526870675,0.0075649369283742095,0.004149377593360996
58,Kyle Lowry,0,0.0493818091734625,0.010202876812421397,0.004149377593360996
196,Caleb Swanigan,1,-0.10164375759193377,-0.03491613230041106,0.004149377593360996
192,Gorgui Dieng,1,-0.1028171089764508,-0.03641371376748767,0.004149377593360996
191,Dewayne Dedmon,1,-0.10419956965792777,-0.03817460225141134,0.004149377593360996
177,Jahlil Okafor,1,-0.10357553822597362,-0.037588161572099765,0.004149377593360996
67,J.J. Barea,4,0.0691050388975385,-0.09420179068209589,0.004149377593360996
141,Ish Smith,4,0.07249043953311217,-0.10502351420962278,0.004149377593360996
188,Norman Powell,4,0.06365457628113606,-0.047346745166835826,0.004149377593360996
186,Kyle O'Quinn,1,-0.10576763085244115,-0.04036948854594628,0.004149377593360996
184,Justise Winslow,0,0.03093344511058236,0.05950354008235943,0.004149377593360996
79,Derrick Rose,0,0.05390791732420521,-0.0023597594127849272,0.004149377593360996
80,Rondae Hollis-Jefferson,1,-0.05375523913388767,0.02559725216071229,0.004149377593360996
180,Meyers Leonard,1,-0.09841715340844147,-0.031084021053658283,0.004149377593360996
241,Romeo Langford,0,0.04441034992904213,0.07739338002803656,0.004149377593360996
